"Velocity_ft_p_s:0","Velocity_ft_p_s:1","Velocity_ft_p_s:2","Bed_Elev_ft","Water_Depth_ft","Water_Elev_ft","ManningN","h_99_percent","h_90_percent","h_50_percent","h_10_percent","h_1_percent","Points:0","Points:1","Points:2"
-0.0010843,0.00052154,0,943.86,0.017109,943.05,0.06,0,0,0,0.0469,0.1,4.0891e+05,1.8073e+06,943.86
0,-0.0011444,0,943.99,0.017109,942.86,0.06,0,0,0,0.0469,0.1,4.0891e+05,1.8073e+06,943.99
-0.0008576,-0.0021881,0,943.88,0.012461,942.81,0.06,0,0,0,0.044023,0.1,4.089e+05,1.8072e+06,943.88
-0.0020423,-0.0011772,0,942.87,0.0055552,942.09,0.06,0,0,0,0.031151,0.1,4.0892e+05,1.8072e+06,942.87
-0.0017889,-0.0010312,0,942.12,0.0048662,941.79,0.06,0,0,0,0.027287,0.1,4.0893e+05,1.8071e+06,942.12
-0.0016256,-0.00011892,0,941.97,0.0092891,941.7,0.06,0,0,0,0.025458,0.1,4.0895e+05,1.8071e+06,941.97
-0.0016965,-0.0001241,0,941.78,0.0096938,941.6,0.06,0,0,0,0.026567,0.1,4.0898e+05,1.8071e+06,941.78
-0.00014109,0.00010702,0,941.78,0.024671,941.64,0.06,0,0,0.011638,0.041788,0.1,4.0899e+05,1.8071e+06,941.78
-0.00011702,6.8436e-05,0,941.78,0.03552,941.69,0.06,0,0,0.017911,0.058637,0.1,4.09e+05,1.807e+06,941.78
-9.7471e-05,0.00012792,0,942.08,0.033988,941.73,0.06,0,0.0064555,0.02397,0.042963,0.1,4.0899e+05,1.807e+06,942.08
-0.00059751,0.00035096,0,942.11,0.010165,941.71,0.06,0,0,0,0.027684,0.1,4.0898e+05,1.8069e+06,942.11
-0.00075319,0.00044241,0,942.11,0.012814,941.8,0.06,0,0,0,0.034897,0.1,4.0896e+05,1.8069e+06,942.11
1.2512e-05,-5.5731e-05,0,942.43,0.0045007,941.83,0.055,0,0.0015112,0.003539,0.0053624,0.1,4.0958e+05,1.8069e+06,942.43
1.3457e-05,-9.4538e-06,0,942.43,0.0044345,941.83,0.055,0,0.00090948,0.0032768,0.0054716,0.1,4.0958e+05,1.8069e+06,942.43
3.4553e-05,-2.4275e-05,0,943.35,0.011387,941.92,0.055,0,0.0023353,0.008414,0.01405,0.1,4.0958e+05,1.807e+06,943.35
3.8234e-05,-1.8684e-05,0,943.35,0.0098157,941.91,0.055,0,0,0.0065234,0.012765,0.1,4.0958e+05,1.807e+06,943.35
-0.00098224,0.00079523,0,942.39,0.017217,941.86,0.06,0,0,0,0.046901,0.1,4.0893e+05,1.8069e+06,942.39
-0.00098224,0.00079523,0,942.49,0.017217,941.93,0.06,0,0,0,0.046901,0.1,4.0892e+05,1.8069e+06,942.49
4.2573e-05,-2.1607e-07,0,942.43,0.0044485,941.84,0.055,0.0011181,0.0023256,0.0036332,0.00556,0.1,4.0958e+05,1.8069e+06,942.43
0.00055521,0.0006491,0,944.1,0.01118,942.41,0.055,0,0,0,0.043028,0.1,4.0963e+05,1.8069e+06,944.1
0.00055521,0.0006491,0,944.26,0.01118,942.54,0.055,0,0,0,0.043028,0.1,4.0963e+05,1.8069e+06,944.26
-0.00018791,0.00052218,0,942.91,0.023119,942.13,0.06,0,0,0.012203,0.035993,0.1,4.0889e+05,1.8068e+06,942.91
0.00027697,-2.8834e-05,0,945.03,0.024953,943.17,0.055,0,0,0,0.051856,0.1,4.0968e+05,1.8068e+06,945.03
0.00027697,-2.8834e-05,0,945.19,0.024953,943.39,0.055,0,0,0,0.051856,0.1,4.0969e+05,1.8068e+06,945.19
-5.3707e-05,7.9279e-05,0,942.69,0.0093723,942.01,0.06,0,0,0.0058997,0.012484,0.1,4.0888e+05,1.8068e+06,942.69
0.00010306,-7.4144e-05,0,945.16,0.052437,943.4,0.055,0,0.014951,0.035014,0.069488,0.1,4.0972e+05,1.8068e+06,945.16
-0.00010047,-7.1965e-05,0,942.63,0.034912,941.97,0.06,0,0.006897,0.025264,0.043556,0.1,4.0889e+05,1.8067e+06,942.63
0.00022463,-8.9288e-05,0,945.23,0.051922,943.38,0.055,0,0,0.032684,0.069157,0.1,4.0973e+05,1.8067e+06,945.23
0.00022463,-8.9288e-05,0,945.73,0.051922,944.13,0.055,0,0,0.032684,0.069157,0.1,4.0976e+05,1.8067e+06,945.73
-5.9034e-05,-0.00016635,0,942.66,0.072373,942.2,0.06,0.019349,0.038012,0.061319,0.082276,0.1,4.0889e+05,1.8067e+06,942.66
6.2521e-05,-0.00015223,0,945.85,0.060604,944.52,0.055,0,0.014831,0.04484,0.074727,0.1,4.0977e+05,1.8067e+06,945.85
-5.9034e-05,-0.00016635,0,942.66,0.072373,942.32,0.06,0.019349,0.038012,0.061319,0.082276,0.1,4.0889e+05,1.8066e+06,942.66
9.9568e-05,-0.00038329,0,942.67,0.083409,942.36,0.06,0.049851,0.062774,0.076771,0.089356,0.1,4.0889e+05,1.8066e+06,942.67
3.8589e-05,-0.00030484,0,946.24,0.06663,944.74,0.055,0,0.025125,0.053278,0.078592,0.1,4.0977e+05,1.8066e+06,946.24
4.0381e-05,-0.00051743,0,942.65,0.079204,942.32,0.06,0.049489,0.060933,0.073326,0.084471,0.1,4.0889e+05,1.8066e+06,942.65
4.0381e-05,-0.00051743,0,942.65,0.079204,942.24,0.06,0.049489,0.060933,0.073326,0.084471,0.1,4.0889e+05,1.8066e+06,942.65
7.92e-05,-0.00061194,0,946.31,0.0538,944.96,0.055,0,0.017392,0.03688,0.070362,0.1,4.0977e+05,1.8066e+06,946.31
