iteration,n_channel,n_left2,calibration_error,wse_sim_point1,wse_meas_point1,wse_sim_point2,wse_meas_point2
1,0.06779257921161398,0.03100608739196983,0.9547756092366372,952.3016967773438,951.4635009765625,946.4613647460938,945.4027709960938
2,0.06678146001636617,0.05581100947678923,0.9545468615833379,952.2791137695312,951.4635009765625,946.4784545898438,945.4027709960938
3,0.04674996517121548,0.025998494949080176,0.24723479107311422,951.6862182617188,951.4635009765625,945.6723022460938,945.4027709960938
4,0.047554933517952036,0.040022516668341314,0.2983636206659185,951.7139282226562,951.4635009765625,945.7423706054688,945.4027709960938
5,0.02857200907531645,0.05905330837693118,0.6198522422277059,951.0707397460938,951.4635009765625,944.6190795898438,945.4027709960938
6,0.023384694741626015,0.0633199263360095,0.8902922571320545,950.8941650390625,951.4635009765625,944.27978515625,945.4027709960938
7,0.07631316254094501,0.02004672595046086,1.1418325306391763,952.4929809570312,951.4635009765625,946.6468505859375,945.4027709960938
8,0.07953269355747307,0.05704889057766299,1.2466890249570495,952.5637817382812,951.4635009765625,946.7803955078125,945.4027709960938
9,0.05669918962929686,0.020423978313183044,0.6120884420689913,952.0003051757812,951.4635009765625,946.0818481445312,945.4027709960938
10,0.021383745502484945,0.05148647961550336,1.010331459258368,950.8260498046875,951.4635009765625,944.1240234375,945.4027709960938
